DATE,LOAD
2021-06-02 17:15:00,565.65
2021-06-02 17:30:00,587.95
2021-06-02 17:45:00,587.95
2021-06-02 18:00:00,597.82
2021-06-02 18:15:00,597.82
2021-06-02 18:30:00,520.56
2021-06-02 18:45:00,520.56
2021-06-02 19:00:00,452.63
2021-06-02 19:15:00,143.55
2021-06-02 19:30:00,143.55
2021-06-02 19:45:00,175.08
2021-06-02 20:00:00,170.78
2021-06-02 20:15:00,170.78
2021-06-02 20:30:00,481.65
2021-06-02 20:45:00,481.65
2021-06-02 21:00:00,0.0
2021-06-02 21:15:00,0.0
2021-06-02 21:30:00,0.0
2021-06-02 21:45:00,0.0
2021-06-02 22:00:00,0.0
2021-06-02 22:15:00,0.0
2021-06-02 22:30:00,0.0
2021-06-02 22:45:00,0.0
2021-06-02 23:00:00,0.0
2021-06-02 23:15:00,0.0
2021-06-02 23:30:00,0.0
2021-06-02 23:45:00,0.0
2021-06-03 00:00:00,0.0
2021-06-03 00:15:00,0.0
2021-06-03 00:30:00,0.0
2021-06-03 00:45:00,0.0
2021-06-03 01:00:00,0.0
2021-06-03 01:15:00,0.0
2021-06-03 01:30:00,0.0
2021-06-03 01:45:00,0.0
2021-06-03 02:00:00,0.0
2021-06-03 02:15:00,0.0
2021-06-03 02:30:00,0.0
2021-06-03 02:45:00,0.0
2021-06-03 03:00:00,0.0
2021-06-03 03:15:00,0.0
2021-06-03 03:30:00,0.0
2021-06-03 03:45:00,0.0
2021-06-03 04:00:00,0.0
2021-06-03 04:15:00,0.0
2021-06-03 04:30:00,0.0
2021-06-03 04:45:00,0.0
2021-06-03 05:00:00,0.0
2021-06-03 05:15:00,0.0
2021-06-03 05:30:00,0.0
2021-06-03 05:45:00,0.0
2021-06-03 06:00:00,0.0
2021-06-03 06:15:00,0.0
2021-06-03 06:30:00,0.0
2021-06-03 06:45:00,0.0
2021-06-03 07:00:00,0.0
2021-06-03 07:15:00,0.0
2021-06-03 07:30:00,0.0
2021-06-03 07:45:00,0.0
2021-06-03 08:00:00,0.0
2021-06-03 08:15:00,0.0
2021-06-03 08:30:00,481.03
2021-06-03 08:45:00,481.03
2021-06-03 09:00:00,633.69
2021-06-03 09:15:00,631.34
2021-06-03 09:30:00,631.34
2021-06-03 09:45:00,566.17
2021-06-03 10:00:00,566.17
2021-06-03 10:15:00,505.99
2021-06-03 10:30:00,505.99
2021-06-03 10:45:00,401.34
2021-06-03 11:00:00,401.34
2021-06-03 11:15:00,398.23
2021-06-03 11:30:00,378.24
2021-06-03 11:45:00,378.24
2021-06-03 12:00:00,401.88
2021-06-03 12:15:00,384.61
2021-06-03 12:30:00,384.61
2021-06-03 12:45:00,384.61
2021-06-03 13:00:00,366.16
2021-06-03 13:15:00,366.16
2021-06-03 13:30:00,366.16
2021-06-03 13:45:00,359.79
2021-06-03 14:00:00,369.17
2021-06-03 14:15:00,358.28
2021-06-03 14:30:00,358.28
2021-06-03 14:45:00,358.28
2021-06-03 15:00:00,363.64
2021-06-03 15:15:00,342.55
2021-06-03 15:30:00,342.55
2021-06-03 15:45:00,342.55
2021-06-03 16:00:00,339.61
2021-06-03 16:15:00,328.08
2021-06-03 16:30:00,328.08
2021-06-03 16:45:00,328.08
2021-06-03 17:00:00,324.96
2021-06-03 17:15:00,207.9
2021-06-03 17:30:00,207.9
2021-06-03 17:45:00,207.9
2021-06-03 18:00:00,205.33
2021-06-03 18:15:00,206.75
2021-06-03 18:30:00,206.75
2021-06-03 18:45:00,206.75
2021-06-03 19:00:00,207.19
2021-06-03 19:15:00,201.38
2021-06-03 19:30:00,201.38
2021-06-03 19:45:00,188.62
2021-06-03 20:00:00,188.62
2021-06-03 20:15:00,200.32
2021-06-03 20:30:00,192.11
2021-06-03 20:45:00,192.11
2021-06-03 21:00:00,0.0
2021-06-03 21:15:00,0.0
2021-06-03 21:30:00,0.0
2021-06-03 21:45:00,0.0
2021-06-03 22:00:00,0.0
2021-06-03 22:15:00,0.0
2021-06-03 22:30:00,0.0
2021-06-03 22:45:00,0.0
2021-06-03 23:00:00,0.0
2021-06-03 23:15:00,0.0
2021-06-03 23:30:00,0.0
2021-06-03 23:45:00,0.0
2021-06-04 00:00:00,0.0
2021-06-04 00:15:00,0.0
2021-06-04 00:30:00,0.0
2021-06-04 00:45:00,0.0
2021-06-04 01:00:00,0.0
2021-06-04 01:15:00,0.0
2021-06-04 01:30:00,0.0
2021-06-04 01:45:00,0.0
2021-06-04 02:00:00,0.0
2021-06-04 02:15:00,0.0
2021-06-04 02:30:00,0.0
2021-06-04 02:45:00,0.0
2021-06-04 03:00:00,0.0
2021-06-04 03:15:00,0.0
2021-06-04 03:30:00,0.0
2021-06-04 03:45:00,0.0
2021-06-04 04:00:00,0.0
2021-06-04 04:15:00,0.0
2021-06-04 04:30:00,0.0
2021-06-04 04:45:00,0.0
2021-06-04 05:00:00,0.0
2021-06-04 05:15:00,0.0
2021-06-04 05:30:00,0.0
2021-06-04 05:45:00,0.0
2021-06-04 06:00:00,0.0
2021-06-04 06:15:00,0.0
2021-06-04 06:30:00,0.0
2021-06-04 06:45:00,0.0
2021-06-04 07:00:00,0.0
2021-06-04 07:15:00,0.0
2021-06-04 07:30:00,0.0
2021-06-04 07:45:00,0.0
2021-06-04 08:00:00,75.38
2021-06-04 08:15:00,543.13
2021-06-04 08:30:00,591.41
2021-06-04 08:45:00,591.41
2021-06-04 09:00:00,591.41
2021-06-04 09:15:00,532.07
2021-06-04 09:30:00,147.48
2021-06-04 09:45:00,147.48
2021-06-04 10:00:00,163.81
2021-06-04 10:15:00,163.81
2021-06-04 10:30:00,530.79
2021-06-04 10:45:00,516.11
2021-06-04 11:00:00,516.11
2021-06-04 11:15:00,152.51
2021-06-04 11:30:00,156.06
2021-06-04 11:45:00,175.05
2021-06-04 12:00:00,175.05
2021-06-04 12:15:00,494.29
2021-06-04 12:30:00,447.47
2021-06-04 12:45:00,436.95
2021-06-04 13:00:00,436.95
2021-06-04 13:15:00,157.9
2021-06-04 13:30:00,166.2
2021-06-04 13:45:00,483.6
2021-06-04 14:00:00,499.19
2021-06-04 14:15:00,499.19
2021-06-04 14:30:00,453.45
2021-06-04 14:45:00,457.14
2021-06-04 15:00:00,457.14
2021-06-04 15:15:00,152.78
2021-06-04 15:30:00,544.87
2021-06-04 15:45:00,544.87
2021-06-04 16:00:00,544.87
2021-06-04 16:15:00,561.76
2021-06-04 16:30:00,561.76
2021-06-04 16:45:00,365.55
2021-06-04 17:00:00,365.55
2021-06-04 17:15:00,325.96
2021-06-04 17:30:00,325.96
2021-06-04 17:45:00,377.21
2021-06-04 18:00:00,381.55
2021-06-04 18:15:00,358.53
2021-06-04 18:30:00,347.66
2021-06-04 18:45:00,347.66
2021-06-04 19:00:00,347.66
2021-06-04 19:15:00,347.66
2021-06-04 19:30:00,38.7
2021-06-04 19:45:00,38.7
2021-06-04 20:00:00,38.7
2021-06-04 20:15:00,38.7
2021-06-04 20:30:00,39.46
2021-06-04 20:45:00,0.0
2021-06-04 21:00:00,0.0
2021-06-04 21:15:00,0.0
2021-06-04 21:30:00,0.0
2021-06-04 21:45:00,0.0
2021-06-04 22:00:00,0.0
2021-06-04 22:15:00,0.0
2021-06-04 22:30:00,0.0
2021-06-04 22:45:00,0.0
2021-06-04 23:00:00,0.0
2021-06-04 23:15:00,0.0
2021-06-04 23:30:00,0.0
2021-06-04 23:45:00,0.0
2021-06-05 00:00:00,0.0
2021-06-05 00:15:00,0.0
2021-06-05 00:30:00,0.0
2021-06-05 00:45:00,0.0
2021-06-05 01:00:00,0.0
2021-06-05 01:15:00,0.0
2021-06-05 01:30:00,0.0
2021-06-05 01:45:00,0.0
2021-06-05 02:00:00,0.0
2021-06-05 02:15:00,0.0
2021-06-05 02:30:00,0.0
2021-06-05 02:45:00,0.0
2021-06-05 03:00:00,0.0
2021-06-05 03:15:00,0.0
2021-06-05 03:30:00,0.0
2021-06-05 03:45:00,0.0
2021-06-05 04:00:00,0.0
2021-06-05 04:15:00,0.0
2021-06-05 04:30:00,0.0
2021-06-05 04:45:00,0.0
2021-06-05 05:00:00,0.0
2021-06-05 05:15:00,0.0
2021-06-05 05:30:00,0.0
2021-06-05 05:45:00,0.0
2021-06-05 06:00:00,0.0
2021-06-05 06:15:00,0.0
2021-06-05 06:30:00,0.0
2021-06-05 06:45:00,0.0
2021-06-05 07:00:00,0.0
2021-06-05 07:15:00,0.0
2021-06-05 07:30:00,0.0
2021-06-05 07:45:00,0.0
2021-06-05 08:00:00,0.0
2021-06-05 08:15:00,0.0
2021-06-05 08:30:00,0.0
2021-06-05 08:45:00,0.0
2021-06-05 09:00:00,0.0
2021-06-05 09:15:00,0.0
2021-06-05 09:30:00,189.17
2021-06-05 09:45:00,207.92
2021-06-05 10:00:00,264.87
2021-06-05 10:15:00,264.87
2021-06-05 10:30:00,291.11
2021-06-05 10:45:00,291.11
2021-06-05 11:00:00,273.85
2021-06-05 11:15:00,273.85
2021-06-05 11:30:00,273.85
2021-06-05 11:45:00,272.4
2021-06-05 12:00:00,264.5
2021-06-05 12:15:00,274.13
2021-06-05 12:30:00,274.13
2021-06-05 12:45:00,119.33
2021-06-05 13:00:00,78.62
2021-06-05 13:15:00,78.62
2021-06-05 13:30:00,43.55
2021-06-05 13:45:00,13.1
2021-06-05 14:00:00,267.54
2021-06-05 14:15:00,267.54
2021-06-05 14:30:00,267.54
2021-06-05 14:45:00,275.5
2021-06-05 15:00:00,275.5
2021-06-05 15:15:00,275.5
2021-06-05 15:30:00,275.5
2021-06-05 15:45:00,275.5
2021-06-05 16:00:00,275.5
2021-06-05 16:15:00,275.5
2021-06-05 16:30:00,275.5
2021-06-05 16:45:00,275.5
2021-06-05 17:00:00,275.5
2021-06-05 17:15:00,275.5
2021-06-05 17:30:00,275.5
2021-06-05 17:45:00,271.02
2021-06-05 18:00:00,271.05
2021-06-05 18:15:00,291.06
2021-06-05 18:30:00,291.06
2021-06-05 18:45:00,306.02
2021-06-05 19:00:00,282.64
2021-06-05 19:15:00,292.31
2021-06-05 19:30:00,277.67
2021-06-05 19:45:00,282.92
2021-06-05 20:00:00,282.92
2021-06-05 20:15:00,0.0
2021-06-05 20:30:00,0.0
2021-06-05 20:45:00,0.0
2021-06-05 21:00:00,0.0
2021-06-05 21:15:00,0.0
2021-06-05 21:30:00,0.0
2021-06-05 21:45:00,0.0
2021-06-05 22:00:00,0.0
2021-06-05 22:15:00,0.0
2021-06-05 22:30:00,0.0
2021-06-05 22:45:00,0.0
2021-06-05 23:00:00,0.0
2021-06-05 23:15:00,0.0
2021-06-05 23:30:00,0.0
2021-06-05 23:45:00,0.0
2021-06-06 00:00:00,0.0
2021-06-06 00:15:00,0.0
2021-06-06 00:30:00,0.0
2021-06-06 00:45:00,0.0
2021-06-06 01:00:00,0.0
2021-06-06 01:15:00,0.0
2021-06-06 01:30:00,0.0
2021-06-06 01:45:00,0.0
2021-06-06 02:00:00,0.0
2021-06-06 02:15:00,0.0
2021-06-06 02:30:00,0.0
2021-06-06 02:45:00,0.0
2021-06-06 03:00:00,0.0
2021-06-06 03:15:00,0.0
2021-06-06 03:30:00,0.0
2021-06-06 03:45:00,0.0
2021-06-06 04:00:00,0.0
2021-06-06 04:15:00,0.0
2021-06-06 04:30:00,0.0
2021-06-06 04:45:00,0.0
2021-06-06 05:00:00,0.0
2021-06-06 05:15:00,0.0
2021-06-06 05:30:00,0.0
2021-06-06 05:45:00,0.0
2021-06-06 06:00:00,0.0
2021-06-06 06:15:00,0.0
2021-06-06 06:30:00,0.0
2021-06-06 06:45:00,0.0
2021-06-06 07:00:00,0.0
2021-06-06 07:15:00,0.0
2021-06-06 07:30:00,0.0
2021-06-06 07:45:00,0.0
2021-06-06 08:00:00,0.0
2021-06-06 08:15:00,0.0
