날짜,외기온도,외기습도
21. 6. 2 오전 11:00,25.10,51.60
21. 6. 2 오전 11:15,25.70,48.80
21. 6. 2 오전 11:30,25.90,46.30
21. 6. 2 오전 11:45,26.20,52.30
21. 6. 2 오후 12:00,26.00,58.80
21. 6. 2 오후 12:15,26.30,52.20
21. 6. 2 오후 12:30,27.40,45.10
21. 6. 2 오후 12:45,27.40,43.60
21. 6. 2 오후 1:00,27.70,43.80
21. 6. 2 오후 1:15,27.30,41.90
21. 6. 2 오후 1:30,27.30,41.90
21. 6. 2 오후 1:45,27.70,36.40
21. 6. 2 오후 2:00,27.40,37.50
21. 6. 2 오후 2:15,27.00,38.30
21. 6. 2 오후 2:30,26.80,38.80
21. 6. 2 오후 2:45,26.50,40.00
21. 6. 2 오후 3:00,26.20,40.10
21. 6. 2 오후 3:15,26.00,41.00
21. 6. 2 오후 3:30,25.80,41.60
21. 6. 2 오후 3:45,25.70,45.50
21. 6. 2 오후 4:00,,41.80
21. 6. 2 오후 4:15,25.50,41.80
21. 6. 2 오후 4:30,25.30,43.90
21. 6. 2 오후 4:45,25.30,44.20
21. 6. 2 오후 5:00,25.30,45.30
21. 6. 2 오후 5:15,25.00,46.40
21. 6. 2 오후 5:30,24.50,48.00
21. 6. 2 오후 5:45,,52.90
21. 6. 2 오후 6:00,23.50,52.90
21. 6. 2 오후 6:15,22.90,54.20
21. 6. 2 오후 6:30,22.30,55.90
21. 6. 2 오후 6:45,21.70,56.20
21. 6. 2 오후 7:00,21.50,56.70
21. 6. 2 오후 7:15,21.00,55.30
21. 6. 2 오후 7:30,20.70,54.70
21. 6. 2 오후 7:45,20.40,61.70
21. 6. 2 오후 8:00,20.50,62.30
21. 6. 2 오후 8:15,20.60,62.80
21. 6. 2 오후 8:30,20.60,60.80
21. 6. 2 오후 8:45,20.70,59.30
21. 6. 2 오후 9:00,,60.00
21. 6. 2 오후 9:15,20.60,60.00
21. 6. 2 오후 9:30,20.60,60.80
21. 6. 2 오후 9:45,,61.00
21. 6. 2 오후 10:00,20.40,61.00
21. 6. 2 오후 10:15,20.40,62.60
21. 6. 2 오후 10:30,20.50,63.30
21. 6. 2 오후 10:45,20.60,63.50
21. 6. 2 오후 11:00,20.60,64.50
21. 6. 2 오후 11:15,20.60,64.50
21. 6. 2 오후 11:30,20.70,67.90
21. 6. 2 오후 11:45,20.50,69.90
21. 6. 3 오전 12:00,20.20,70.00
21. 6. 3 오전 12:15,19.60,72.60
21. 6. 3 오전 12:30,19.40,76.30
21. 6. 3 오전 12:45,19.40,76.30
21. 6. 3 오전 1:00,19.30,91.10
21. 6. 3 오전 1:15,19.40,84.80
21. 6. 3 오전 1:30,19.50,82.40
21. 6. 3 오전 1:45,19.70,88.00
21. 6. 3 오전 2:00,19.80,96.50
21. 6. 3 오전 2:15,19.80,93.70
21. 6. 3 오전 2:30,19.80,99.90
21. 6. 3 오전 2:45,19.80,99.90
21. 6. 3 오전 3:00,19.90,99.90
21. 6. 3 오전 3:15,19.70,99.90
21. 6. 3 오전 3:30,19.80,99.90
21. 6. 3 오전 3:45,19.90,99.90
21. 6. 3 오전 4:00,19.80,99.90
21. 6. 3 오전 4:15,19.70,98.40
21. 6. 3 오전 4:30,19.70,100.00
21. 6. 3 오전 4:45,19.50,100.00
21. 6. 3 오전 5:00,18.90,100.00
21. 6. 3 오전 5:15,19.00,100.00
21. 6. 3 오전 5:30,19.20,100.00
21. 6. 3 오전 5:45,19.20,100.00
21. 6. 3 오전 6:00,19.30,100.00
21. 6. 3 오전 6:15,19.30,100.00
21. 6. 3 오전 6:30,19.50,100.00
21. 6. 3 오전 6:45,19.80,99.90
21. 6. 3 오전 7:00,20.10,100.00
21. 6. 3 오전 7:15,20.40,99.90
21. 6. 3 오전 7:30,20.50,100.00
21. 6. 3 오전 7:45,20.70,100.00
21. 6. 3 오전 8:00,20.80,100.00
21. 6. 3 오전 8:15,20.80,100.00
21. 6. 3 오전 8:30,21.00,83.80
21. 6. 3 오전 8:45,21.10,68.70
21. 6. 3 오전 9:00,20.80,71.80
21. 6. 3 오전 9:15,20.70,72.30
21. 6. 3 오전 9:30,20.60,83.00
21. 6. 3 오전 9:45,20.60,80.60
21. 6. 3 오전 10:00,20.50,77.30
21. 6. 3 오전 10:15,20.50,78.70
21. 6. 3 오전 10:30,20.30,79.60
21. 6. 3 오전 10:45,20.40,76.90
21. 6. 3 오전 11:00,20.50,68.50
21. 6. 3 오전 11:15,20.60,68.30
21. 6. 3 오전 11:30,20.50,67.20
21. 6. 3 오전 11:45,20.40,67.70
21. 6. 3 오후 12:00,20.10,72.30
21. 6. 3 오후 12:15,,100.00
21. 6. 3 오후 12:30,19.00,100.00
21. 6. 3 오후 12:45,18.20,100.00
21. 6. 3 오후 1:00,,100.00
21. 6. 3 오후 1:15,17.70,100.00
