날짜,외기온도,외기습도
21. 6. 7 오전 8:15,19.30,99.90
21. 6. 7 오전 8:30,,83.30
21. 6. 7 오전 8:45,19.40,83.30
21. 6. 7 오전 9:00,19.50,83.30
21. 6. 7 오전 9:15,19.60,73.50
21. 6. 7 오전 9:30,19.60,73.50
21. 6. 7 오전 9:45,19.70,70.50
21. 6. 7 오전 10:00,19.80,70.70
21. 6. 7 오전 10:15,19.80,69.00
21. 6. 7 오전 10:30,19.80,71.70
21. 6. 7 오전 10:45,19.90,73.80
21. 6. 7 오전 11:00,19.90,75.00
21. 6. 7 오전 11:15,20.00,71.30
21. 6. 7 오전 11:30,20.00,74.90
21. 6. 7 오전 11:45,19.90,73.00
21. 6. 7 오후 12:00,20.00,67.30
21. 6. 7 오후 12:15,20.10,69.50
21. 6. 7 오후 12:30,20.20,67.90
21. 6. 7 오후 12:45,20.20,64.70
21. 6. 7 오후 1:00,20.30,62.90
21. 6. 7 오후 1:15,21.30,58.40
21. 6. 7 오후 1:30,21.30,58.40
21. 6. 7 오후 1:45,22.00,55.20
21. 6. 7 오후 2:00,22.50,56.80
21. 6. 7 오후 2:15,22.10,56.00
21. 6. 7 오후 2:30,22.40,56.60
21. 6. 7 오후 2:45,22.80,53.10
21. 6. 7 오후 3:00,22.60,52.50
21. 6. 7 오후 3:15,22.40,54.60
21. 6. 7 오후 3:30,22.20,55.20
21. 6. 7 오후 3:45,22.60,54.40
21. 6. 7 오후 4:00,22.40,53.40
21. 6. 7 오후 4:15,22.00,55.70
21. 6. 7 오후 4:30,22.10,55.60
21. 6. 7 오후 4:45,22.30,55.70
21. 6. 7 오후 5:00,22.10,55.50
21. 6. 7 오후 5:15,22.00,56.00
21. 6. 7 오후 5:30,21.90,56.60
21. 6. 7 오후 5:45,21.80,55.60
21. 6. 7 오후 6:00,21.90,54.40
21. 6. 7 오후 6:15,21.90,53.70
21. 6. 7 오후 6:30,21.90,54.60
21. 6. 7 오후 6:45,21.90,58.30
21. 6. 7 오후 7:00,21.70,57.70
21. 6. 7 오후 7:15,21.60,56.50
21. 6. 7 오후 7:30,21.60,57.80
21. 6. 7 오후 7:45,21.60,61.00
21. 6. 7 오후 8:00,21.60,61.50
21. 6. 7 오후 8:15,21.50,63.30
21. 6. 7 오후 8:30,21.50,64.90
21. 6. 7 오후 8:45,20.90,71.50
21. 6. 7 오후 9:00,20.80,71.60
21. 6. 7 오후 9:15,20.70,71.20
21. 6. 7 오후 9:30,20.20,83.80
21. 6. 7 오후 9:45,19.00,99.90
21. 6. 7 오후 10:00,19.00,99.90
21. 6. 7 오후 10:15,18.90,99.90
21. 6. 7 오후 10:30,18.80,99.90
21. 6. 7 오후 10:45,19.10,99.90
21. 6. 7 오후 11:00,,100.00
21. 6. 7 오후 11:15,19.40,100.00
21. 6. 7 오후 11:30,19.80,100.00
21. 6. 7 오후 11:45,20.00,99.90
21. 6. 8 오전 12:00,20.20,99.90
21. 6. 8 오전 12:15,19.70,100.00
21. 6. 8 오전 12:30,19.80,100.00
21. 6. 8 오전 12:45,19.80,100.00
21. 6. 8 오전 1:00,19.70,99.90
21. 6. 8 오전 1:15,19.70,99.90
21. 6. 8 오전 1:30,19.50,99.90
21. 6. 8 오전 1:45,19.20,100.00
21. 6. 8 오전 2:00,19.40,100.00
21. 6. 8 오전 2:15,19.50,99.90
21. 6. 8 오전 2:30,19.70,99.90
21. 6. 8 오전 2:45,19.80,99.90
21. 6. 8 오전 3:00,19.80,99.90
21. 6. 8 오전 3:15,20.00,99.90
21. 6. 8 오전 3:30,20.00,99.90
21. 6. 8 오전 3:45,19.80,99.90
21. 6. 8 오전 4:00,19.80,99.90
21. 6. 8 오전 4:15,19.60,100.00
21. 6. 8 오전 4:30,19.40,99.90
21. 6. 8 오전 4:45,19.40,100.00
21. 6. 8 오전 5:00,19.60,100.00
21. 6. 8 오전 5:15,19.60,99.90
21. 6. 8 오전 5:30,19.60,99.90
21. 6. 8 오전 5:45,19.50,100.00
21. 6. 8 오전 6:00,19.00,100.00
21. 6. 8 오전 6:15,18.70,99.90
21. 6. 8 오전 6:30,18.80,99.90
21. 6. 8 오전 6:45,19.00,99.90
21. 6. 8 오전 7:00,19.40,99.90
21. 6. 8 오전 7:15,,99.90
21. 6. 8 오전 7:30,19.90,99.90
21. 6. 8 오전 7:45,20.30,99.90
21. 6. 8 오전 8:00,20.70,99.90
21. 6. 8 오전 8:15,20.90,99.90
21. 6. 8 오전 8:30,21.30,99.90
21. 6. 8 오전 8:45,21.70,99.90
21. 6. 8 오전 9:00,22.80,99.90
21. 6. 8 오전 9:15,21.00,99.90
21. 6. 8 오전 9:30,20.40,99.90
21. 6. 8 오전 9:45,20.80,99.90
21. 6. 8 오전 10:00,21.20,99.90
21. 6. 8 오전 10:15,21.30,99.90
21. 6. 8 오전 10:30,21.30,99.90
21. 6. 8 오전 10:45,21.00,99.90
21. 6. 8 오전 11:00,21.30,99.90
21. 6. 8 오전 11:15,21.00,99.90
21. 6. 8 오전 11:30,21.00,99.90
21. 6. 8 오전 11:45,21.20,99.90
21. 6. 8 오후 12:00,21.80,99.90
21. 6. 8 오후 12:15,21.50,99.90
21. 6. 8 오후 12:30,21.50,99.90
21. 6. 8 오후 12:45,21.60,99.90
21. 6. 8 오후 1:00,21.90,99.90
21. 6. 8 오후 1:15,22.30,99.90
21. 6. 8 오후 1:30,22.30,99.90
21. 6. 8 오후 1:45,22.60,99.90
21. 6. 8 오후 2:00,22.10,99.90
21. 6. 8 오후 2:15,,99.90
21. 6. 8 오후 2:30,22.20,99.90
21. 6. 8 오후 2:45,21.80,99.90
21. 6. 8 오후 3:00,,99.90
21. 6. 8 오후 3:15,22.40,99.90
21. 6. 8 오후 3:30,22.70,99.90
21. 6. 8 오후 3:45,22.30,99.90
21. 6. 8 오후 4:00,21.70,99.90
21. 6. 8 오후 4:15,21.60,99.90
21. 6. 8 오후 4:30,21.70,99.90
21. 6. 8 오후 4:45,21.90,99.90
21. 6. 8 오후 5:00,21.80,99.90
21. 6. 8 오후 5:15,22.10,99.90
21. 6. 8 오후 5:30,22.10,99.90
21. 6. 8 오후 5:45,21.10,99.90
21. 6. 8 오후 6:00,21.10,99.90
21. 6. 8 오후 6:15,20.50,99.90
21. 6. 8 오후 6:30,20.20,99.90
21. 6. 8 오후 6:45,19.90,99.90
21. 6. 8 오후 7:00,20.00,99.90
21. 6. 8 오후 7:15,20.00,99.90
21. 6. 8 오후 7:30,20.00,99.90
21. 6. 8 오후 7:45,19.60,99.90
21. 6. 8 오후 8:00,19.60,99.90
21. 6. 8 오후 8:15,19.70,99.90
21. 6. 8 오후 8:30,19.80,100.00
21. 6. 8 오후 8:45,19.90,99.90
21. 6. 8 오후 9:00,19.90,99.90
21. 6. 8 오후 9:15,19.80,99.90
21. 6. 8 오후 9:30,19.40,100.00
21. 6. 8 오후 9:45,19.30,100.00
21. 6. 8 오후 10:00,19.30,100.00
21. 6. 8 오후 10:15,19.90,99.90
21. 6. 8 오후 10:30,20.10,99.90
21. 6. 8 오후 10:45,20.40,99.90
21. 6. 8 오후 11:00,20.60,99.90
21. 6. 8 오후 11:15,20.60,99.90
21. 6. 8 오후 11:30,20.70,99.90
21. 6. 8 오후 11:45,20.60,99.90
21. 6. 9 오전 12:00,20.60,99.90
21. 6. 9 오전 12:15,21.00,99.90
21. 6. 9 오전 12:30,20.90,99.90
21. 6. 9 오전 12:45,20.80,99.90
21. 6. 9 오전 1:00,20.80,99.90
21. 6. 9 오전 1:15,20.90,99.90
21. 6. 9 오전 1:30,20.90,99.90
21. 6. 9 오전 1:45,20.90,99.90
21. 6. 9 오전 2:00,21.00,99.90
21. 6. 9 오전 2:15,21.20,99.90
21. 6. 9 오전 2:30,20.80,99.90
21. 6. 9 오전 2:45,20.50,99.90
21. 6. 9 오전 3:00,20.40,99.90
21. 6. 9 오전 3:15,20.00,99.90
21. 6. 9 오전 3:30,19.90,99.90
21. 6. 9 오전 3:45,19.80,99.90
21. 6. 9 오전 4:00,19.50,99.90
21. 6. 9 오전 4:15,19.80,100.00
21. 6. 9 오전 4:30,19.80,99.90
21. 6. 9 오전 4:45,19.50,99.90
21. 6. 9 오전 5:00,19.30,99.90
21. 6. 9 오전 5:15,18.40,99.90
21. 6. 9 오전 5:30,,99.90
21. 6. 9 오전 5:45,18.10,99.90
21. 6. 9 오전 6:00,18.20,99.90
21. 6. 9 오전 6:15,,99.90
21. 6. 9 오전 6:30,18.70,99.90
21. 6. 9 오전 6:45,19.40,99.90
21. 6. 9 오전 7:00,20.10,99.90
21. 6. 9 오전 7:15,20.50,99.90
21. 6. 9 오전 7:30,20.70,99.90
21. 6. 9 오전 7:45,20.80,99.90
21. 6. 9 오전 8:00,21.40,99.90
21. 6. 9 오전 8:15,21.60,99.90
21. 6. 9 오전 8:30,22.40,99.90
21. 6. 9 오전 8:45,22.80,99.90
21. 6. 9 오전 9:00,23.30,99.90
21. 6. 9 오전 9:15,23.70,99.90
21. 6. 9 오전 9:30,24.30,91.30
21. 6. 9 오전 9:45,24.40,96.60
21. 6. 9 오전 10:00,24.60,85.60
21. 6. 9 오전 10:15,25.60,72.30
21. 6. 9 오전 10:30,25.70,67.90
21. 6. 9 오전 10:45,26.20,70.60
21. 6. 9 오전 11:00,26.30,68.40
21. 6. 9 오전 11:15,26.30,68.70
21. 6. 9 오전 11:30,26.90,72.40
21. 6. 9 오전 11:45,27.10,62.90
21. 6. 9 오후 12:00,27.60,61.60
21. 6. 9 오후 12:15,26.90,61.60
21. 6. 9 오후 12:30,26.10,65.00
21. 6. 9 오후 12:45,26.20,63.80
21. 6. 9 오후 1:00,26.20,64.40
21. 6. 9 오후 1:15,26.30,63.20
21. 6. 9 오후 1:30,26.60,62.40
21. 6. 9 오후 1:45,26.40,62.90
21. 6. 9 오후 2:00,26.10,61.50
21. 6. 9 오후 2:15,26.60,57.10
21. 6. 9 오후 2:30,25.80,66.10
21. 6. 9 오후 2:45,25.70,68.40
21. 6. 9 오후 3:00,26.00,64.90
21. 6. 9 오후 3:15,26.10,62.10
21. 6. 9 오후 3:30,26.70,56.80
21. 6. 9 오후 3:45,27.00,53.80
21. 6. 9 오후 4:00,26.10,52.10
21. 6. 9 오후 4:15,25.50,61.70
21. 6. 9 오후 4:30,25.50,62.40
21. 6. 9 오후 4:45,25.60,62.00
21. 6. 9 오후 5:00,25.70,61.30
21. 6. 9 오후 5:15,26.10,57.80
21. 6. 9 오후 5:30,26.70,52.10
21. 6. 9 오후 5:45,27.00,53.00
21. 6. 9 오후 6:00,25.20,63.10
21. 6. 9 오후 6:15,23.70,64.90
21. 6. 9 오후 6:30,23.30,68.10
21. 6. 9 오후 6:45,23.70,66.50
21. 6. 9 오후 7:00,24.40,63.40
21. 6. 9 오후 7:15,25.10,61.30
21. 6. 9 오후 7:30,23.60,72.60
21. 6. 9 오후 7:45,22.80,78.90
21. 6. 9 오후 8:00,22.60,84.30
21. 6. 9 오후 8:15,23.10,77.90
21. 6. 9 오후 8:30,,71.20
21. 6. 9 오후 8:45,,71.20
21. 6. 9 오후 9:00,22.80,71.20
21. 6. 9 오후 9:15,22.50,80.80
21. 6. 9 오후 9:30,,100.00
21. 6. 9 오후 9:45,20.50,100.00
21. 6. 9 오후 10:00,20.50,100.00
21. 6. 9 오후 10:15,20.40,100.00
21. 6. 9 오후 10:30,20.80,100.00
21. 6. 9 오후 10:45,21.30,99.90
21. 6. 9 오후 11:00,20.60,99.90
21. 6. 9 오후 11:15,20.00,99.90
21. 6. 9 오후 11:30,20.20,99.90
21. 6. 9 오후 11:45,20.30,99.90
21. 6. 10 오전 12:00,19.70,100.00
21. 6. 10 오전 12:15,20.50,70.80
21. 6. 10 오전 12:30,20.50,70.80
21. 6. 10 오전 12:45,20.50,71.40
21. 6. 10 오전 1:00,20.60,71.20
21. 6. 10 오전 1:15,20.50,78.20
21. 6. 10 오전 1:30,20.50,76.20
21. 6. 10 오전 1:45,20.30,75.10
21. 6. 10 오전 2:00,20.30,73.50
21. 6. 10 오전 2:15,20.50,70.90
21. 6. 10 오전 2:30,20.30,73.90
21. 6. 10 오전 2:45,20.40,72.00
21. 6. 10 오전 3:00,20.60,76.90
21. 6. 10 오전 3:15,20.60,83.20
21. 6. 10 오전 3:30,20.60,99.90
21. 6. 10 오전 3:45,20.60,99.90
21. 6. 10 오전 4:00,20.70,99.90
21. 6. 10 오전 4:15,20.80,99.90
21. 6. 10 오전 4:30,20.90,99.90
21. 6. 10 오전 4:45,21.20,99.90
21. 6. 10 오전 5:00,21.20,99.90
21. 6. 10 오전 5:15,21.40,97.60
21. 6. 10 오전 5:30,21.60,90.70
21. 6. 10 오전 5:45,21.90,81.40
21. 6. 10 오전 6:00,22.00,82.60
21. 6. 10 오전 6:15,22.10,76.70
21. 6. 10 오전 6:30,22.20,75.50
21. 6. 10 오전 6:45,22.50,77.60
21. 6. 10 오전 7:00,22.60,76.40
21. 6. 10 오전 7:15,22.80,78.90
21. 6. 10 오전 7:30,22.50,85.30
21. 6. 10 오전 7:45,22.90,85.40
21. 6. 10 오전 8:00,,78.80
21. 6. 10 오전 8:15,23.60,78.80
21. 6. 10 오전 8:30,24.60,70.00
21. 6. 10 오전 8:45,25.30,65.70
21. 6. 10 오전 9:00,25.00,67.10
21. 6. 10 오전 9:15,24.80,67.40
21. 6. 10 오전 9:30,24.70,66.80
21. 6. 10 오전 9:45,25.00,67.80
21. 6. 10 오전 10:00,25.10,67.20
21. 6. 10 오전 10:15,25.60,66.00
21. 6. 10 오전 10:30,26.10,65.20
21. 6. 10 오전 10:45,26.60,60.80
21. 6. 10 오전 11:00,26.30,63.20
21. 6. 10 오전 11:15,26.10,62.20
21. 6. 10 오전 11:30,26.20,60.40
21. 6. 10 오전 11:45,25.90,56.00
21. 6. 10 오후 12:00,,53.30
21. 6. 10 오후 12:15,26.30,53.30
21. 6. 10 오후 12:30,26.80,53.10
21. 6. 10 오후 12:45,,52.90
21. 6. 10 오후 1:00,26.90,52.90
21. 6. 10 오후 1:15,26.90,55.20
21. 6. 10 오후 1:30,26.90,55.20
21. 6. 10 오후 1:45,23.50,72.70
21. 6. 10 오후 2:00,23.20,73.20
21. 6. 10 오후 2:15,23.10,73.80
21. 6. 10 오후 2:30,23.30,72.00
21. 6. 10 오후 2:45,24.60,64.40
21. 6. 10 오후 3:00,24.60,62.20
21. 6. 10 오후 3:15,24.60,61.70
21. 6. 10 오후 3:30,24.30,63.40
21. 6. 10 오후 3:45,24.60,64.50
21. 6. 10 오후 4:00,24.90,64.40
21. 6. 10 오후 4:15,24.70,64.70
21. 6. 10 오후 4:30,24.10,61.30
21. 6. 10 오후 4:45,24.00,60.10
21. 6. 10 오후 5:00,23.70,62.90
21. 6. 10 오후 5:15,23.30,65.60
21. 6. 10 오후 5:30,23.20,62.90
21. 6. 10 오후 5:45,23.20,61.50
21. 6. 10 오후 6:00,23.10,64.00
21. 6. 10 오후 6:15,23.10,67.70
21. 6. 10 오후 6:30,23.10,70.50
21. 6. 10 오후 6:45,23.00,72.50
21. 6. 10 오후 7:00,23.00,73.40
21. 6. 10 오후 7:15,23.00,72.40
21. 6. 10 오후 7:30,22.80,76.70
21. 6. 10 오후 7:45,23.10,72.00
21. 6. 10 오후 8:00,23.70,64.70
21. 6. 10 오후 8:15,23.90,63.50
21. 6. 10 오후 8:30,23.80,60.90
21. 6. 10 오후 8:45,23.70,61.70
21. 6. 10 오후 9:00,23.20,63.40
21. 6. 10 오후 9:15,22.80,65.70
21. 6. 10 오후 9:30,22.70,56.80
21. 6. 10 오후 9:45,21.80,59.10
21. 6. 10 오후 10:00,22.10,61.30
21. 6. 10 오후 10:15,21.70,66.40
21. 6. 10 오후 10:30,21.00,75.00
21. 6. 10 오후 10:45,20.60,91.40
21. 6. 10 오후 11:00,19.60,100.00
21. 6. 10 오후 11:15,19.30,100.00
21. 6. 10 오후 11:30,19.20,100.00
21. 6. 10 오후 11:45,19.20,100.00
21. 6. 11 오전 12:00,,100.00
21. 6. 11 오전 12:15,18.90,100.00
21. 6. 11 오전 12:30,18.90,100.00
21. 6. 11 오전 12:45,19.00,100.00
21. 6. 11 오전 1:00,19.20,100.00
21. 6. 11 오전 1:15,19.20,100.00
21. 6. 11 오전 1:30,19.20,100.00
21. 6. 11 오전 1:45,19.20,100.00
21. 6. 11 오전 2:00,,100.00
21. 6. 11 오전 2:15,19.00,100.00
21. 6. 11 오전 2:30,18.90,100.00
21. 6. 11 오전 2:45,18.80,100.00
21. 6. 11 오전 3:00,,100.00
21. 6. 11 오전 3:15,,100.00
21. 6. 11 오전 3:30,19.30,100.00
21. 6. 11 오전 3:45,19.10,100.00
21. 6. 11 오전 4:00,,100.00
21. 6. 11 오전 4:15,19.00,100.00
21. 6. 11 오전 4:30,18.90,100.00
21. 6. 11 오전 4:45,18.80,100.00
21. 6. 11 오전 5:00,18.70,100.00
21. 6. 11 오전 5:15,18.70,100.00
21. 6. 11 오전 5:30,18.70,100.00
21. 6. 11 오전 5:45,18.70,100.00
21. 6. 11 오전 6:00,18.50,100.00
21. 6. 11 오전 6:15,18.30,100.00
21. 6. 11 오전 6:30,18.30,100.00
21. 6. 11 오전 6:45,18.00,100.00
21. 6. 11 오전 7:00,17.90,100.00
21. 6. 11 오전 7:15,17.80,100.00
21. 6. 11 오전 7:30,17.70,100.00
21. 6. 11 오전 7:45,17.50,100.00
21. 6. 11 오전 8:00,17.50,100.00
21. 6. 11 오전 8:15,17.50,100.00
21. 6. 11 오전 8:30,17.60,100.00
21. 6. 11 오전 8:45,17.60,100.00
21. 6. 11 오전 9:00,17.60,100.00
21. 6. 11 오전 9:15,17.70,100.00
21. 6. 11 오전 9:30,17.90,100.00
21. 6. 11 오전 9:45,17.90,100.00
21. 6. 11 오전 10:00,18.10,100.00
21. 6. 11 오전 10:15,18.80,99.90
21. 6. 11 오전 10:30,18.90,100.00
21. 6. 11 오전 10:45,19.10,100.00
21. 6. 11 오전 11:00,19.50,100.00
21. 6. 11 오전 11:15,19.20,100.00
21. 6. 11 오전 11:30,19.30,99.90
21. 6. 11 오전 11:45,19.40,99.90
21. 6. 11 오후 12:00,19.30,99.90
21. 6. 11 오후 12:15,19.00,99.90
21. 6. 11 오후 12:30,19.00,99.90
21. 6. 11 오후 12:45,19.30,100.00
21. 6. 11 오후 1:00,19.80,99.90
21. 6. 11 오후 1:15,,100.00
21. 6. 11 오후 1:30,20.60,100.00
21. 6. 11 오후 1:45,20.80,99.90
21. 6. 11 오후 2:00,20.60,99.90
21. 6. 11 오후 2:15,20.80,100.00
21. 6. 11 오후 2:30,20.40,99.90
21. 6. 11 오후 2:45,20.70,99.90
21. 6. 11 오후 3:00,20.60,100.00
21. 6. 11 오후 3:15,20.50,99.90
21. 6. 11 오후 3:30,,100.00
21. 6. 11 오후 3:45,20.20,100.00
21. 6. 11 오후 4:00,20.20,100.00
21. 6. 11 오후 4:15,20.20,100.00
21. 6. 11 오후 4:30,20.20,100.00
21. 6. 11 오후 4:45,20.10,100.00
21. 6. 11 오후 5:00,20.20,100.00
21. 6. 11 오후 5:15,19.70,100.00
21. 6. 11 오후 5:30,19.70,100.00
21. 6. 11 오후 5:45,19.40,100.00
21. 6. 11 오후 6:00,19.50,100.00
21. 6. 11 오후 6:15,19.70,100.00
21. 6. 11 오후 6:30,,100.00
21. 6. 11 오후 6:45,19.80,100.00
21. 6. 11 오후 7:00,19.90,100.00
21. 6. 11 오후 7:15,,100.00
21. 6. 11 오후 7:30,19.50,100.00
21. 6. 11 오후 7:45,19.30,100.00
21. 6. 11 오후 8:00,19.20,100.00
21. 6. 11 오후 8:15,19.00,100.00
21. 6. 11 오후 8:30,18.80,100.00
21. 6. 11 오후 8:45,18.80,100.00
21. 6. 11 오후 9:00,18.60,100.00
21. 6. 11 오후 9:15,18.20,100.00
21. 6. 11 오후 9:30,18.00,100.00
21. 6. 11 오후 9:45,17.70,100.00
21. 6. 11 오후 10:00,17.60,100.00
21. 6. 11 오후 10:15,17.80,100.00
21. 6. 11 오후 10:30,17.60,100.00
21. 6. 11 오후 10:45,17.50,100.00
21. 6. 11 오후 11:00,17.50,100.00
21. 6. 11 오후 11:15,17.60,100.00
21. 6. 11 오후 11:30,17.70,100.00
21. 6. 11 오후 11:45,17.70,100.00
21. 6. 12 오전 12:00,17.70,100.00
21. 6. 12 오전 12:15,17.90,100.00
21. 6. 12 오전 12:30,18.00,100.00
21. 6. 12 오전 12:45,18.00,100.00
21. 6. 12 오전 1:00,17.80,100.00
21. 6. 12 오전 1:15,17.90,100.00
21. 6. 12 오전 1:30,18.00,100.00
21. 6. 12 오전 1:45,18.10,100.00
21. 6. 12 오전 2:00,18.10,100.00
21. 6. 12 오전 2:15,18.00,100.00
21. 6. 12 오전 2:30,18.00,100.00
21. 6. 12 오전 2:45,18.00,100.00
21. 6. 12 오전 3:00,18.10,100.00
21. 6. 12 오전 3:15,18.20,100.00
21. 6. 12 오전 3:30,18.30,100.00
21. 6. 12 오전 3:45,18.30,100.00
21. 6. 12 오전 4:00,18.50,100.00
21. 6. 12 오전 4:15,18.50,100.00
21. 6. 12 오전 4:30,18.60,100.00
21. 6. 12 오전 4:45,18.60,100.00
21. 6. 12 오전 5:00,18.70,100.00
21. 6. 12 오전 5:15,18.60,100.00
21. 6. 12 오전 5:30,,100.00
21. 6. 12 오전 5:45,18.80,100.00
21. 6. 12 오전 6:00,18.80,100.00
21. 6. 12 오전 6:15,18.80,100.00
21. 6. 12 오전 6:30,18.80,100.00
21. 6. 12 오전 6:45,18.80,99.90
21. 6. 12 오전 7:00,18.80,99.90
21. 6. 12 오전 7:15,19.00,99.90
21. 6. 12 오전 7:30,19.00,99.90
21. 6. 12 오전 7:45,19.40,100.00
21. 6. 12 오전 8:00,19.40,100.00
21. 6. 12 오전 8:15,20.80,100.00
21. 6. 12 오전 8:30,20.80,100.00
21. 6. 12 오전 8:45,21.60,100.00
21. 6. 12 오전 9:00,22.50,100.00
21. 6. 12 오전 9:15,22.60,100.00
21. 6. 12 오전 9:30,23.20,99.90
21. 6. 12 오전 9:45,,89.00
21. 6. 12 오전 10:00,23.30,89.00
21. 6. 12 오전 10:15,22.10,100.00
21. 6. 12 오전 10:30,,99.90
21. 6. 12 오전 10:45,22.80,99.90
21. 6. 12 오전 11:00,22.50,100.00
21. 6. 12 오전 11:15,22.50,100.00
21. 6. 12 오전 11:30,23.00,100.00
21. 6. 12 오전 11:45,22.60,100.00
21. 6. 12 오후 12:00,22.50,99.90
21. 6. 12 오후 12:15,22.90,99.90
21. 6. 12 오후 12:30,23.30,100.00
21. 6. 12 오후 12:45,22.90,99.90
21. 6. 12 오후 1:00,22.40,99.90
21. 6. 12 오후 1:15,21.90,100.00
21. 6. 12 오후 1:30,21.90,100.00
21. 6. 12 오후 1:45,22.00,100.00
21. 6. 12 오후 2:00,21.70,100.00
21. 6. 12 오후 2:15,22.10,100.00
21. 6. 12 오후 2:30,21.20,100.00
21. 6. 12 오후 2:45,20.80,100.00
21. 6. 12 오후 3:00,21.40,100.00
21. 6. 12 오후 3:15,22.20,100.00
21. 6. 12 오후 3:30,21.60,100.00
21. 6. 12 오후 3:45,21.90,100.00
21. 6. 12 오후 4:00,22.10,100.00
21. 6. 12 오후 4:15,21.50,100.00
21. 6. 12 오후 4:30,21.30,100.00
21. 6. 12 오후 4:45,20.70,100.00
21. 6. 12 오후 5:00,20.50,100.00
21. 6. 12 오후 5:15,20.00,100.00
21. 6. 12 오후 5:30,20.20,100.00
21. 6. 12 오후 5:45,20.20,100.00
21. 6. 12 오후 6:00,19.40,100.00
21. 6. 12 오후 6:15,18.80,100.00
21. 6. 12 오후 6:30,18.20,100.00
21. 6. 12 오후 6:45,18.30,100.00
21. 6. 12 오후 7:00,18.50,100.00
21. 6. 12 오후 7:15,18.70,100.00
21. 6. 12 오후 7:30,19.00,100.00
21. 6. 12 오후 7:45,19.40,100.00
21. 6. 12 오후 8:00,19.50,100.00
21. 6. 12 오후 8:15,19.40,100.00
21. 6. 12 오후 8:30,19.30,100.00
21. 6. 12 오후 8:45,19.40,100.00
21. 6. 12 오후 9:00,19.30,99.90
21. 6. 12 오후 9:15,19.10,100.00
21. 6. 12 오후 9:30,18.90,99.90
21. 6. 12 오후 9:45,19.00,99.90
21. 6. 12 오후 10:00,19.10,99.90
21. 6. 12 오후 10:15,19.20,100.00
21. 6. 12 오후 10:30,19.10,99.90
21. 6. 12 오후 10:45,18.80,99.90
21. 6. 12 오후 11:00,18.90,99.90
21. 6. 12 오후 11:15,18.80,99.90
21. 6. 12 오후 11:30,18.60,100.00
21. 6. 12 오후 11:45,18.60,100.00
21. 6. 13 오전 12:00,,99.90
21. 6. 13 오전 12:15,18.60,99.90
21. 6. 13 오전 12:30,18.40,99.90
21. 6. 13 오전 12:45,18.40,99.90
21. 6. 13 오전 1:00,,100.00
21. 6. 13 오전 1:15,18.10,100.00
21. 6. 13 오전 1:30,17.90,100.00
21. 6. 13 오전 1:45,,100.00
21. 6. 13 오전 2:00,17.90,100.00
21. 6. 13 오전 2:15,17.90,99.90
21. 6. 13 오전 2:30,17.90,100.00
21. 6. 13 오전 2:45,18.00,100.00
21. 6. 13 오전 3:00,17.90,100.00
21. 6. 13 오전 3:15,17.80,100.00
21. 6. 13 오전 3:30,17.70,100.00
21. 6. 13 오전 3:45,17.70,100.00
21. 6. 13 오전 4:00,17.80,100.00
21. 6. 13 오전 4:15,17.60,100.00
21. 6. 13 오전 4:30,17.70,100.00
21. 6. 13 오전 4:45,17.60,100.00
21. 6. 13 오전 5:00,17.60,100.00
21. 6. 13 오전 5:15,17.30,100.00
21. 6. 13 오전 5:30,17.20,100.00
21. 6. 13 오전 5:45,17.10,100.00
21. 6. 13 오전 6:00,17.00,100.00
21. 6. 13 오전 6:15,17.20,100.00
21. 6. 13 오전 6:30,17.10,100.00
21. 6. 13 오전 6:45,17.00,100.00
21. 6. 13 오전 7:00,17.20,100.00
21. 6. 13 오전 7:15,17.30,100.00
21. 6. 13 오전 7:30,17.50,100.00
21. 6. 13 오전 7:45,17.60,100.00
21. 6. 13 오전 8:00,17.30,100.00
21. 6. 13 오전 8:15,17.40,100.00
21. 6. 13 오전 8:30,17.20,100.00
21. 6. 13 오전 8:45,17.30,100.00
21. 6. 13 오전 9:00,17.30,100.00
21. 6. 13 오전 9:15,17.30,100.00
21. 6. 13 오전 9:30,17.50,100.00
21. 6. 13 오전 9:45,17.50,100.00
21. 6. 13 오전 10:00,17.30,100.00
21. 6. 13 오전 10:15,17.20,100.00
21. 6. 13 오전 10:30,17.00,100.00
21. 6. 13 오전 10:45,17.30,100.00
21. 6. 13 오전 11:00,17.80,100.00
21. 6. 13 오전 11:15,18.00,100.00
21. 6. 13 오전 11:30,17.90,100.00
21. 6. 13 오전 11:45,19.30,99.90
21. 6. 13 오후 12:00,,99.90
21. 6. 13 오후 12:15,21.30,99.90
21. 6. 13 오후 12:30,20.30,99.90
21. 6. 13 오후 12:45,19.90,99.90
21. 6. 13 오후 1:00,19.50,100.00
21. 6. 13 오후 1:15,19.50,100.00
21. 6. 13 오후 1:30,19.50,100.00
21. 6. 13 오후 1:45,20.20,100.00
21. 6. 13 오후 2:00,,100.00
21. 6. 13 오후 2:15,20.80,100.00
21. 6. 13 오후 2:30,20.50,100.00
21. 6. 13 오후 2:45,20.70,100.00
21. 6. 13 오후 3:00,20.50,100.00
21. 6. 13 오후 3:15,20.60,100.00
21. 6. 13 오후 3:30,20.60,100.00
21. 6. 13 오후 3:45,20.40,99.90
21. 6. 13 오후 4:00,20.10,99.90
21. 6. 13 오후 4:15,,100.00
21. 6. 13 오후 4:30,19.10,100.00
21. 6. 13 오후 4:45,18.60,100.00
21. 6. 13 오후 5:00,,100.00
